Current_density(mA/g),Limited_specific_capacity(mAh/g),Current_density(mA/g).1,Limited_specific_capacity(mAh/g).1,Atomic_Weight_of_M1,Atomic_Weight_of_M2,Atomic_Weight_of_N,Covalent_Radius_of_M1,Covalent_Radius_of_M2,Covalent_Radius_of_N,VanDer_Waals_Radius_of_M1,VanDer_Waals_Radius_of_M2,VanDer_Waals_Radius_of_N,Atomic_Volume_of_M1,Atomic_Volume_of_M2,Atomic_Volume_of_N,Electron_Affinity_of_M1,Electron_Affinity_of_M2,Electron_Affinity_of_N,d-electron_number_of_M1,d-electron_number_of_M2,p-electron_number_of_N,Difference_in_the_d-electron_number_of_M1_and_M2,Average_d-electron_number_of_M1_and_M2,Number_of_valence_electrons_of_M1,Number_of_valence_electrons_of_M2,Number_of_valence_electrons_of_N,Difference_in_the_valence-electron_number_of_M1_and_M2,Average_valence-electron_number_of_M1_and_M2,First_ionization_energy_of_M1,First_ionization_energy_of_M2,First_ionization_energy_of_N,Difference_in_the_First_ionization_energy_of_metals,Electrical_Conductivity_of_M1,Electrical_Conductivity_of_M2,Thermal_Conductivity_of_M1,Thermal_Conductivity_of_M2,Pauling_electronegativity_of_M1,Pauling_electronegativity_of_M2,Pauling_electronegativity_of_N,Difference_in_the_electronegativity_of_M1_and_M2,Average_electronegativity_of_M1_and_M2,Average_electronegativity_of_M1_and_N,Average_electronegativity_of_M2_and_N,Average_electronegativity_of_active_site_(M1-M2-N),Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,d-band_center_of_M1,d-band_center_of_M2
500.0,1000.0,100.0,1000.0,58.933,58.693,15.999,116.0,115.0,73.0,192.0,163.0,152.0,6.71,6.59,14.0,63.0,112.0,141.0,7.0,8.0,4.0,-1.0,7.5,9.0,10.0,6.0,-1.0,9.5,760.4,737.1,1313.9,23.3,17200000.0,14400000.0,100.0,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890.0,-1.3,-1.4
16.7,83.3,16.7,83.3,58.693,55.845,30.974,115.0,115.0,107.0,163.0,194.0,180.0,6.59,7.11,17.0,112.0,15.0,72.0,8.0,6.0,3.0,2.0,7.0,10.0,8.0,5.0,2.0,9.0,737.1,762.5,1011.8,-25.4,14400000.0,10000000.0,91.4,80.4,1.91,1.83,2.19,0.08,1.87,2.05,2.01,1.976666667,14.64,17.52,16.08,1840.0,-1.4,-1.45
100.0,500.0,100.0,500.0,47.867,0.0,12.011,136.0,0.0,76.0,187.0,0.0,170.0,10.64,0.0,5.29,7.6,0.0,121.8,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,658.8,0.0,1086.5,0.0,2340000.0,0.0,21.9,0.0,1.54,0.0,2.55,0.0,0.0,2.045,0.0,0.0,0.0,5.1,0.0,0.0,-2.2,0.0
500.0,1000.0,100.0,1000.0,95.95,58.933,30.974,139.0,116.0,107.0,209.0,192.0,180.0,9.38,6.71,17.0,72.0,63.0,72.0,5.0,7.0,3.0,-2.0,6.0,6.0,9.0,5.0,-3.0,7.5,684.3,760.4,1011.8,-76.1,18700000.0,17200000.0,138.0,100.0,2.16,1.88,2.19,0.28,2.02,2.175,2.035,2.076666667,9.4,10.95,10.175,1275.0,-1.6,-1.3
500.0,1000.0,100.0,1000.0,58.933,58.693,15.999,116.0,115.0,73.0,192.0,163.0,152.0,6.71,6.59,14.0,63.0,112.0,141.0,7.0,8.0,4.0,-1.0,7.5,9.0,10.0,6.0,-1.0,9.5,760.4,737.1,1313.9,23.3,17200000.0,14400000.0,100.0,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890.0,-1.3,-1.4
500.0,500.0,500.0,500.0,58.933,58.693,15.999,116.0,115.0,73.0,192.0,163.0,152.0,6.71,6.59,14.0,63.0,112.0,141.0,7.0,8.0,4.0,-1.0,7.5,9.0,10.0,6.0,-1.0,9.5,760.4,737.1,1313.9,23.3,17200000.0,14400000.0,100.0,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890.0,-1.3,-1.4
400.0,500.0,400.0,500.0,138.91,58.693,15.999,169.0,115.0,73.0,240.0,163.0,152.0,22.6,6.59,14.0,48.0,112.0,141.0,1.0,8.0,4.0,-7.0,4.5,3.0,10.0,6.0,-7.0,6.5,538.1,737.1,1313.9,-199.0,1340000.0,14400000.0,13.4,91.4,1.1,1.91,3.44,-0.81,1.505,2.27,2.675,2.15,1.91,3.44,2.675,284.0,0.0,-1.4
100.0,1000.0,100.0,1000.0,58.933,0.0,32.06,116.0,0.0,102.0,192.0,0.0,180.0,6.71,0.0,15.5,63.0,0.0,200.4,7.0,0.0,4.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,760.4,0.0,999.6,0.0,17200000.0,0.0,100.0,0.0,1.88,0.0,2.58,0.0,0.0,2.23,0.0,0.0,0.0,18.06,0.0,0.0,-1.3,0.0
100.0,1000.0,100.0,1000.0,58.933,55.845,15.999,116.0,115.0,73.0,192.0,194.0,152.0,6.71,7.11,14.0,63.0,15.0,141.0,7.0,6.0,4.0,1.0,6.5,9.0,8.0,6.0,1.0,8.5,760.4,762.5,1313.9,-2.1,17200000.0,10000000.0,100.0,80.4,1.88,1.83,3.44,0.05,1.855,2.66,2.635,2.383333333,12.81,24.08,18.445,1890.0,-1.3,-1.45
200.0,500.0,200.0,500.0,55.845,138.91,15.999,115.0,169.0,73.0,194.0,240.0,152.0,7.11,22.6,14.0,15.0,48.0,141.0,6.0,1.0,4.0,5.0,3.5,8.0,3.0,6.0,5.0,5.5,762.5,538.1,1313.9,224.4,10000000.0,1340000.0,80.4,13.4,1.83,1.1,3.44,0.73,1.465,2.635,2.27,2.123333333,6.6,20.64,13.62,1704.0,-1.45,0.0
200.0,500.0,200.0,500.0,55.845,138.91,15.999,115.0,169.0,73.0,194.0,240.0,152.0,7.11,22.6,14.0,15.0,48.0,141.0,6.0,1.0,4.0,5.0,3.5,8.0,3.0,6.0,5.0,5.5,762.5,538.1,1313.9,224.4,10000000.0,1340000.0,80.4,13.4,1.83,1.1,3.44,0.73,1.465,2.635,2.27,2.123333333,6.6,20.64,13.62,1704.0,-1.45,0.0
100.0,600.0,100.0,600.0,101.07,0.0,15.999,126.0,0.0,73.0,207.0,0.0,152.0,8.3,0.0,14.0,101.3,0.0,141.0,7.0,0.0,4.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,710.2,0.0,1313.9,0.0,13700000.0,0.0,117.0,0.0,2.2,0.0,3.44,0.0,0.0,2.82,0.0,0.0,0.0,24.08,0.0,0.0,-1.2,0.0
100.0,600.0,100.0,600.0,101.07,0.0,15.999,126.0,0.0,73.0,207.0,0.0,152.0,8.3,0.0,14.0,101.3,0.0,141.0,7.0,0.0,4.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,710.2,0.0,1313.9,0.0,13700000.0,0.0,117.0,0.0,2.2,0.0,3.44,0.0,0.0,2.82,0.0,0.0,0.0,24.08,0.0,0.0,-1.2,0.0
100.0,600.0,100.0,600.0,101.07,0.0,15.999,126.0,0.0,73.0,207.0,0.0,152.0,8.3,0.0,14.0,101.3,0.0,141.0,7.0,0.0,4.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,710.2,0.0,1313.9,0.0,13700000.0,0.0,117.0,0.0,2.2,0.0,3.44,0.0,0.0,2.82,0.0,0.0,0.0,24.08,0.0,0.0,-1.2,0.0
200.0,500.0,200.0,500.0,58.933,0.0,15.999,116.0,0.0,73.0,192.0,0.0,152.0,6.71,0.0,14.0,63.0,0.0,141.0,7.0,0.0,4.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,760.4,0.0,1313.9,0.0,17200000.0,0.0,100.0,0.0,1.88,0.0,3.44,0.0,0.0,2.66,0.0,0.0,0.0,24.08,0.0,0.0,-1.3,0.0
200.0,1000.0,200.0,1000.0,162.5,0.0,15.999,192.0,0.0,73.0,231.0,0.0,152.0,19.01,0.0,14.0,33.9,0.0,141.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,573.0,0.0,1313.9,0.0,1100000.0,0.0,10.7,0.0,1.22,0.0,3.44,0.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250.0,500.0,333.3,500.0,58.933,63.55,15.999,116.0,132.0,73.0,192.0,140.0,152.0,6.71,7.11,14.0,63.0,118.4,141.0,7.0,10.0,4.0,-3.0,8.5,9.0,11.0,6.0,-2.0,10.0,760.4,745.5,1313.9,14.9,17200000.0,59600000.0,100.0,401.0,1.88,1.9,3.44,-0.02,1.89,2.66,2.67,2.406666667,13.3,24.08,18.69,1736.0,-1.3,-2.67
200.0,1000.0,200.0,1000.0,101.07,0.0,14.007,126.0,0.0,75.0,207.0,0.0,155.0,8.3,0.0,17.3,101.3,0.0,-7.0,7.0,0.0,3.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,710.2,0.0,1402.3,0.0,13700000.0,0.0,117.0,0.0,2.2,0.0,3.04,0.0,0.0,2.62,0.0,0.0,0.0,21.28,0.0,0.0,-1.2,0.0
500.0,1000.0,500.0,1000.0,192.217,58.933,14.007,141.0,116.0,75.0,202.0,192.0,155.0,8.52,6.71,17.3,151.0,63.0,-7.0,7.0,7.0,3.0,0.0,7.0,9.0,9.0,5.0,0.0,9.0,880.0,760.4,1402.3,119.6,21300000.0,17200000.0,147.0,100.0,2.2,1.88,3.04,0.32,2.04,2.62,2.46,2.373333333,13.16,21.28,17.22,1799.0,-2.5,-1.3
100.0,500.0,100.0,500.0,47.867,0.0,15.999,136.0,0.0,73.0,187.0,0.0,152.0,10.64,0.0,14.0,7.6,0.0,141.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,658.8,0.0,1313.9,0.0,2340000.0,0.0,21.9,0.0,1.54,0.0,3.44,0.0,0.0,2.49,0.0,0.0,0.0,6.88,0.0,0.0,-2.2,0.0
200.0,500.0,200.0,500.0,47.867,0.0,15.999,136.0,0.0,73.0,187.0,0.0,152.0,10.64,0.0,14.0,7.6,0.0,141.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,658.8,0.0,1313.9,0.0,2340000.0,0.0,21.9,0.0,1.54,0.0,3.44,0.0,0.0,2.49,0.0,0.0,0.0,6.88,0.0,0.0,-2.2,0.0
400.0,500.0,400.0,500.0,138.91,54.938,15.999,169.0,139.0,73.0,240.0,197.0,152.0,22.6,7.39,14.0,48.0,50.0,141.0,1.0,5.0,4.0,-4.0,3.0,3.0,7.0,6.0,-4.0,5.0,538.1,717.3,1313.9,-179.2,1340000.0,695000.0,13.4,7.81,1.1,1.55,3.44,-0.45,1.325,2.27,2.495,2.03,1.55,3.44,2.495,308.0,0.0,-1.6
500.0,500.0,500.0,500.0,58.693,0.0,32.06,115.0,0.0,102.0,163.0,0.0,180.0,6.59,0.0,15.5,112.0,0.0,200.4,8.0,0.0,4.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,737.1,0.0,999.6,0.0,14400000.0,0.0,91.4,0.0,1.91,0.0,2.58,0.0,0.0,2.245,0.0,0.0,0.0,20.64,0.0,0.0,-1.4,0.0
500.0,500.0,500.0,500.0,58.693,58.933,15.999,115.0,116.0,73.0,163.0,192.0,152.0,6.59,6.71,14.0,112.0,63.0,141.0,8.0,7.0,4.0,1.0,7.5,10.0,9.0,6.0,1.0,9.5,737.1,760.4,1313.9,-23.3,14400000.0,17200000.0,91.4,100.0,1.91,1.88,3.44,0.03,1.895,2.675,2.66,2.41,15.04,27.52,21.28,1848.0,-1.4,-1.3
100.0,1000.0,100.0,1000.0,54.938,0.0,15.999,139.0,0.0,73.0,197.0,0.0,152.0,7.39,0.0,14.0,50.0,0.0,141.0,5.0,0.0,4.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,717.3,0.0,1313.9,0.0,695000.0,0.0,7.81,0.0,1.55,0.0,3.44,0.0,0.0,2.495,0.0,0.0,0.0,17.2,0.0,0.0,-1.6,0.0
200.0,500.0,200.0,500.0,107.87,54.938,15.999,153.0,139.0,73.0,172.0,197.0,152.0,10.28,7.39,14.0,125.0,50.0,141.0,10.0,5.0,4.0,5.0,7.5,11.0,7.0,6.0,4.0,9.0,731.0,717.3,1313.9,13.7,63000000.0,695000.0,429.0,7.81,1.93,1.55,3.44,0.38,1.74,2.685,2.495,2.306666667,15.5,34.4,24.95,2920.0,-3.5,-1.6
200.0,500.0,200.0,500.0,58.933,101.07,15.999,116.0,126.0,73.0,192.0,207.0,152.0,6.71,8.3,14.0,63.0,101.3,141.0,7.0,7.0,4.0,0.0,7.0,9.0,8.0,6.0,1.0,8.5,760.4,710.2,1313.9,50.2,17200000.0,13700000.0,100.0,117.0,1.88,2.2,3.44,-0.32,2.04,2.66,2.82,2.506666667,15.4,24.08,19.74,1967.0,-1.3,-1.2
200.0,500.0,200.0,500.0,138.91,54.938,15.999,169.0,139.0,73.0,240.0,197.0,152.0,22.6,7.39,14.0,48.0,50.0,141.0,1.0,5.0,4.0,-4.0,3.0,3.0,7.0,6.0,-4.0,5.0,538.1,717.3,1313.9,-179.2,1340000.0,695000.0,13.4,7.81,1.1,1.55,3.44,-0.45,1.325,2.27,2.495,2.03,1.55,3.44,2.495,308.0,0.0,-1.6
500.0,500.0,500.0,500.0,58.933,58.693,15.999,116.0,115.0,73.0,192.0,163.0,152.0,6.71,6.59,14.0,63.0,112.0,141.0,7.0,8.0,4.0,-1.0,7.5,9.0,10.0,6.0,-1.0,9.5,760.4,737.1,1313.9,23.3,17200000.0,14400000.0,100.0,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890.0,-1.3,-1.4
200.0,1000.0,200.0,1000.0,54.938,0.0,15.999,139.0,0.0,73.0,197.0,0.0,152.0,7.39,0.0,14.0,50.0,0.0,141.0,5.0,0.0,4.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,717.3,0.0,1313.9,0.0,695000.0,0.0,7.81,0.0,1.55,0.0,3.44,0.0,0.0,2.495,0.0,0.0,0.0,17.2,0.0,0.0,-1.6,0.0
200.0,1000.0,200.0,1000.0,58.933,0.0,32.06,116.0,0.0,102.0,192.0,0.0,180.0,6.71,0.0,15.5,63.0,0.0,200.4,7.0,0.0,4.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,760.4,0.0,999.6,0.0,17200000.0,0.0,100.0,0.0,1.88,0.0,2.58,0.0,0.0,2.23,0.0,0.0,0.0,18.06,0.0,0.0,-1.3,0.0
200.0,1000.0,200.0,1000.0,95.95,0.0,32.06,139.0,0.0,102.0,209.0,0.0,180.0,9.38,0.0,15.5,72.0,0.0,200.4,5.0,0.0,4.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,684.3,0.0,999.6,0.0,18700000.0,0.0,138.0,0.0,2.16,0.0,2.58,0.0,0.0,2.37,0.0,0.0,0.0,12.9,0.0,0.0,-1.6,0.0
200.0,1000.0,200.0,1000.0,138.91,54.938,15.999,169.0,139.0,73.0,240.0,197.0,152.0,22.6,7.39,14.0,48.0,50.0,141.0,1.0,5.0,4.0,-4.0,3.0,3.0,7.0,6.0,-4.0,5.0,538.1,717.3,1313.9,-179.2,1340000.0,695000.0,13.4,7.81,1.1,1.55,3.44,-0.45,1.325,2.27,2.495,2.03,1.55,3.44,2.495,308.0,0.0,-1.6
400.0,500.0,400.0,500.0,107.87,55.845,15.999,153.0,115.0,73.0,172.0,194.0,152.0,10.28,7.11,14.0,125.0,15.0,141.0,10.0,6.0,4.0,4.0,8.0,11.0,8.0,6.0,3.0,9.5,731.0,762.5,1313.9,-31.5,63000000.0,10000000.0,429.0,80.4,1.93,1.83,3.44,0.1,1.88,2.685,2.635,2.4,18.3,34.4,26.35,2680.0,-3.5,-1.45
400.0,500.0,400.0,500.0,55.845,138.91,15.999,115.0,169.0,73.0,194.0,240.0,152.0,7.11,22.6,14.0,15.0,48.0,141.0,6.0,1.0,4.0,5.0,3.5,8.0,3.0,6.0,5.0,5.5,762.5,538.1,1313.9,224.4,10000000.0,1340000.0,80.4,13.4,1.83,1.1,3.44,0.73,1.465,2.635,2.27,2.123333333,6.6,20.64,13.62,1704.0,-1.45,0.0
600.0,100.0,500.0,600.0,78.971,118.71,15.999,116.0,141.0,73.0,190.0,217.0,152.0,16.4,16.3,14.0,195.0,107.0,141.0,10.0,10.0,4.0,0.0,10.0,6.0,4.0,6.0,2.0,5.0,941.0,708.6,1313.9,232.4,1e-06,9170000.0,0.519,67.0,2.55,1.96,3.44,0.59,2.255,2.995,2.7,2.65,19.6,34.4,27.0,2570.0,0.0,0.0
500.0,600.0,500.0,600.0,78.971,118.71,15.999,116.0,141.0,73.0,190.0,217.0,152.0,16.4,16.3,14.0,195.0,107.0,141.0,10.0,10.0,4.0,0.0,10.0,6.0,4.0,6.0,2.0,5.0,941.0,708.6,1313.9,232.4,1e-06,9170000.0,0.519,67.0,2.55,1.96,3.44,0.59,2.255,2.995,2.7,2.65,19.6,34.4,27.0,2570.0,0.0,0.0
500.0,600.0,500.0,600.0,127.6,208.98,15.999,135.0,148.0,73.0,206.0,207.0,152.0,20.5,21.31,14.0,190.2,91.2,141.0,10.0,10.0,4.0,0.0,10.0,6.0,5.0,6.0,1.0,5.5,869.3,703.0,1313.9,166.3,10000.0,900000.0,1.97,7.9,2.1,2.02,3.44,0.08,2.06,2.77,2.73,2.52,20.2,34.4,27.3,2830.0,0.0,0.0
200.0,500.0,400.0,1000.0,55.845,0.0,14.007,115.0,0.0,75.0,194.0,0.0,155.0,7.11,0.0,17.3,15.0,0.0,-7.0,6.0,0.0,3.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,762.5,0.0,1402.3,0.0,10000000.0,0.0,80.4,0.0,1.83,0.0,3.04,0.0,0.0,2.435,0.0,0.0,0.0,18.24,0.0,0.0,-1.45,0.0
200.0,1000.0,200.0,1000.0,101.07,55.845,14.007,126.0,115.0,75.0,207.0,194.0,155.0,8.3,7.11,17.3,101.3,15.0,-7.0,7.0,6.0,3.0,1.0,6.5,8.0,8.0,5.0,0.0,8.0,710.2,762.5,1402.3,-52.3,13700000.0,10000000.0,117.0,80.4,2.2,1.83,3.04,0.37,2.015,2.62,2.435,2.356666667,12.81,21.28,17.045,1687.0,-1.2,-1.45
200.0,200.0,200.0,500.0,58.693,58.933,15.999,115.0,116.0,73.0,163.0,192.0,152.0,6.59,6.71,14.0,112.0,63.0,141.0,8.0,7.0,4.0,1.0,7.5,10.0,9.0,6.0,1.0,9.5,737.1,760.4,1313.9,-23.3,14400000.0,17200000.0,91.4,100.0,1.91,1.88,3.44,0.03,1.895,2.675,2.66,2.41,15.04,27.52,21.28,1848.0,-1.4,-1.3
100.0,500.0,100.0,500.0,47.867,195.08,12.011,136.0,136.0,76.0,187.0,175.0,170.0,10.64,9.1,5.29,7.6,205.3,121.8,2.0,9.0,0.0,-7.0,5.5,4.0,10.0,4.0,-6.0,7.0,658.8,870.8,1086.5,-212.0,2340000.0,94000000.0,21.9,71.6,1.54,2.28,2.55,-0.74,1.91,2.045,2.415,2.123333333,4.56,5.1,4.83,544.0,-2.2,-2.2
200.0,500.0,200.0,500.0,58.693,58.933,15.999,115.0,116.0,73.0,163.0,192.0,152.0,6.59,6.71,14.0,112.0,63.0,141.0,8.0,7.0,4.0,1.0,7.5,10.0,9.0,6.0,1.0,9.5,737.1,760.4,1313.9,-23.3,14400000.0,17200000.0,91.4,100.0,1.91,1.88,3.44,0.03,1.895,2.675,2.66,2.41,15.04,27.52,21.28,1848.0,-1.4,-1.3
200.0,500.0,200.0,500.0,58.693,58.933,15.999,115.0,116.0,73.0,163.0,192.0,152.0,6.59,6.71,14.0,112.0,63.0,141.0,8.0,7.0,4.0,1.0,7.5,10.0,9.0,6.0,1.0,9.5,737.1,760.4,1313.9,-23.3,14400000.0,17200000.0,91.4,100.0,1.91,1.88,3.44,0.03,1.895,2.675,2.66,2.41,15.04,27.52,21.28,1848.0,-1.4,-1.3
200.0,1000.0,100.0,1000.0,54.938,0.0,15.999,139.0,0.0,73.0,197.0,0.0,152.0,7.39,0.0,14.0,50.0,0.0,141.0,5.0,0.0,4.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,717.3,0.0,1313.9,0.0,695000.0,0.0,7.81,0.0,1.55,0.0,3.44,0.0,0.0,2.495,0.0,0.0,0.0,17.2,0.0,0.0,-1.6,0.0
500.0,1000.0,100.0,1000.0,58.933,55.845,15.999,116.0,115.0,73.0,192.0,194.0,152.0,6.71,7.11,14.0,63.0,15.0,141.0,7.0,6.0,4.0,1.0,6.5,9.0,8.0,6.0,1.0,8.5,760.4,762.5,1313.9,-2.1,17200000.0,10000000.0,100.0,80.4,1.88,1.83,3.44,0.05,1.855,2.66,2.635,2.383333333,12.81,24.08,18.445,1890.0,-1.3,-1.45
