record_id,DOI,data_source,fold,assignment
R0075,https://doi.org/10.1002/smll.202204836,248,0,train
R0076,https://doi.org/10.1002/admi.202102110,252,0,train
R0077,https://doi.org/10.1002/admi.202102110,252,0,train
R0078,https://doi.org/10.1016/j.cej.2022.137684,259,0,train
R0079,https://doi.org/10.1016/j.cej.2022.137684,259,0,train
R0080,https://doi.org/10.1016/j.est.2023.107329,270,0,train
R0081,https://doi.org/10.1021/acs.jpcc.3c01042,281,0,train
R0082,https://doi.org/10.1021/acs.jpcc.3c01042,281,0,train
R0083,https://doi.org/10.1021/acs.jpcc.3c01042,281,0,train
R0084,https://doi.org/10.1021/acsami.3c01599,283,0,train
R0085,https://doi.org/10.1021/jacs.2c11676,287,0,train
R0086,https://doi.org/10.1016/j.est.2023.109342,288,0,train
R0087,https://doi.org/10.1016/j.est.2023.109342,288,0,train
R0088,https://doi.org/10.1016/j.est.2023.109342,288,0,train
R0089,https://doi.org/10.1016/j.jcis.2022.12.148,290,0,train
R0090,https://doi.org/10.1016/j.cej.2022.139524,295,0,train
R0091,https://doi.org/10.1039/d1qi01260f,296,0,train
R0093,https://doi.org/10.1016/j.jallcom.2022.163703,301,0,train
R0094,https://doi.org/10.1016/j.electacta.2022.140894,304,0,train
R0095,https://doi.org/10.1002/smll.202206611,305,0,train
R0096,https://doi.org/10.1002/adsu.202300510,307,0,train
R0097,https://doi.org/10.1002/adsu.202300510,307,0,train
R0098,https://doi.org/10.1002/adsu.202300510,307,0,train
R0099,https://doi.org/10.1021/acsami.2c19975,311,0,train
R0100,https://doi.org/10.1021/acscatal.2c02544,312,0,train
R0101,https://doi.org/10.1021/acscatal.2c02544,312,0,train
R0102,https://doi.org/10.1126/sciadv.abq6261,316,0,train
R0103,https://doi.org/10.1007/s12274-022-5330-2,317,0,train
R0104,https://doi.org/10.1007/s12274-022-5330-2,317,0,train
R0105,https://doi.org/10.1007/s12274-022-5330-2,317,0,train
R0106,https://doi.org/10.1007/s12274-022-5330-2,317,0,train
R0107,https://doi.org/10.1016/j.ensm.2023.102829,320,0,train
R0108,https://doi.org/10.1016/j.cej.2022.138462,322,0,train
R0110,https://doi.org/10.1002/adma.202106436,337,0,train
R0111,https://doi.org/10.1016/j.apcatb.2022.122203,338,0,train
R0112,https://doi.org/10.1021/acsnano.3c05782,342,0,train
R0113,https://doi.org/10.1039/d2ta03604e,344,0,train
R0114,https://doi.org/10.1016/j.compositesb.2022.109727,351,0,train
R0115,https://doi.org/10.1016/j.ensm.2022.05.029,352,0,train
R0116,https://doi.org/10.1016/j.cej.2023.143351,357,0,train
R0117,https://doi.org/10.1002/adfm.202209876,358,0,train
R0118,https://doi.org/10.1002/smll.202106707,361,0,train
R0119,https://doi.org/10.1021/acsaem.3c02592,365,0,train
R0120,https://doi.org/10.1002/aenm.202204057,375,0,train
R0121,https://doi.org/10.1002/aenm.202204057,375,0,train
R0122,https://doi.org/10.1002/aenm.202204057,375,0,train
R0123,https://doi.org/10.1021/acs.nanolett.3c03025,379,0,train
R0124,https://doi.org/10.1021/acs.nanolett.3c03025,379,0,train
R0125,https://doi.org/10.6023/A22050206,381,0,train
R0126,https://doi.org/10.1016/j.jcis.2026.140244,382,0,train
R0127,https://doi.org/10.1016/j.jechem.2026.01.056,383,0,train
R0128,https://doi.org/10.1002/smll.202512953,389,0,train
R0129,https://doi.org/10.1002/smll.202512953,389,0,train
R0130,https://doi.org/10.1002/smll.202512953,389,0,train
R0131,https://doi.org/10.1002/advs.202522315,399,0,train
R0132,https://doi.org/10.1016/j.electacta.2025.147671,403,0,train
R0133,https://doi.org/10.1021/acsaem.5c03033,405,0,train
R0136,https://doi.org/10.1088/2631-6331/ae1925,408,0,train
R0137,https://doi.org/10.1002/anie.202521423,410,0,train
R0138,https://doi.org/10.1080/1536383X.2025.2583369,414,0,train
R0139,https://doi.org/10.1002/anie.202520097,415,0,train
R0144,https://doi.org/10.1002/aoc.70327,425,0,train
R0145,https://doi.org/10.1021/acs.langmuir.5c02644,430,0,train
R0147,https://doi.org/10.1016/j.jcis.2025.138454,435,0,train
R0149,https://doi.org/10.1002/anie.202509132,437,0,train
R0150,https://doi.org/10.1016/j.jpowsour.2025.237653,441,0,train
R0153,https://doi.org/10.1016/j.carbon.2025.120482,447,0,train
R0154,https://doi.org/10.1093/nsr/nwaf145,450,0,train
R0159,https://doi.org/10.1016/j.cej.2025.162420,458,0,train
R0160,https://doi.org/10.1039/d5nr00300h,459,0,train
R0161,https://doi.org/10.1039/d5nr00300h,459,0,train
R0162,https://doi.org/10.1021/jacs.4c15230,463,0,train
R0163,https://doi.org/10.1002/celc.202400626,470,0,train
R0164,https://doi.org/10.1016/j.esci.2024.100310,477,0,train
R0165,https://doi.org/10.1016/j.esci.2024.100310,477,0,train
R0166,https://doi.org/10.1002/smll.202406516,478,0,train
R0170,https://doi.org/10.1002/aenm.202402925,495,0,train
R0171,https://doi.org/10.1002/aenm.202402925,495,0,train
R0172,https://doi.org/10.1002/aenm.202402925,495,0,train
R0174,https://doi.org/10.1002/smll.202406525,502,0,train
R0175,https://doi.org/10.1016/j.jpowsour.2024.235394,507,0,train
R0176,https://doi.org/10.1016/j.jpowsour.2024.235394,507,0,train
R0177,https://doi.org/10.1002/cey2.587,508,0,train
R0178,https://doi.org/10.1002/cey2.550,509,0,train
R0180,https://doi.org/10.1016/j.est.2024.112780,519,0,train
R0181,https://doi.org/10.1016/j.est.2024.112780,519,0,train
R0182,https://doi.org/10.1016/j.jcis.2024.06.137,522,0,train
R0183,https://doi.org/10.1016/j.jcis.2024.06.137,522,0,train
R0184,https://doi.org/10.1016/j.jcis.2024.06.137,522,0,train
R0185,https://doi.org/10.1002/adma.202404319,523,0,train
R0187,https://doi.org/10.1016/j.mtener.2024.101597,526,0,train
R0189,https://doi.org/10.1016/j.ijoes.2024.100602,532,0,train
R0190,https://doi.org/10.1016/j.jechem.2024.01.076,540,0,train
R0191,https://doi.org/10.1016/j.jechem.2024.01.076,540,0,train
R0192,https://doi.org/10.1016/j.jechem.2024.01.076,540,0,train
R0193,https://doi.org/10.1002/aenm.202303766,543,0,train
R0196,https://doi.org/10.1016/j.mtcomm.2024.108243,547,0,train
R0197,https://doi.org/10.1016/j.jallcom.2024.173877,549,0,train
R0198,https://doi.org/10.1016/j.jpowsour.2024.234130,553,0,train
R0199,https://doi.org/10.1016/j.jpowsour.2024.234130,553,0,train
R0200,https://doi.org/10.1021/jacs.3c12734,554,0,train
R0010,https://doi.org/10.1016/j.cej.2020.124294,50,0,test
R0011,https://doi.org/10.1016/j.cej.2020.124294,50,0,test
R0015,https://doi.org/10.1016/j.flatc.2020.100221,65,0,test
R0028,https://doi.org/10.1039/d0ta09195b,113,0,test
R0029,https://doi.org/10.1039/d1ta00538c,118,0,test
R0030,https://doi.org/10.1039/d1ta04830a,120,0,test
R0034,https://doi.org/10.1021/acsnano.9b09646,132,0,test
R0035,https://doi.org/10.1021/acsami.0c02087,136,0,test
R0048,https://doi.org/10.1002/aenm.202103910,177,0,test
R0051,https://doi.org/10.1016/j.ensm.2023.102874,187,0,test
R0052,https://doi.org/10.1016/j.ensm.2023.102989,188,0,test
R0061,https://doi.org/10.1016/j.jelechem.2022.116810,217,0,test
R0067,https://doi.org/10.3390/nano12142386,229,0,test
R0068,https://doi.org/10.1021/acsami.2c19975,230,0,test
R0069,https://doi.org/10.1021/acsami.2c19975,230,0,test
R0092,https://doi.org/10.1016/j.carbon.2022.04.080,298,0,test
R0109,https://doi.org/10.1002/smll.202302598,323,0,test
R0134,https://doi.org/10.1021/acsanm.5c04476,406,0,test
R0135,https://doi.org/10.1021/acsanm.5c04476,406,0,test
R0140,https://doi.org/10.1016/j.jcis.2025.139355,416,0,test
R0141,https://doi.org/10.1016/j.jcis.2025.139355,416,0,test
R0142,https://doi.org/10.1021/acsnano.5c10218,423,0,test
R0143,https://doi.org/10.1021/acsnano.5c10218,423,0,test
R0146,https://doi.org/10.1016/j.electacta.2025.146925,434,0,test
R0148,https://doi.org/10.1038/s41598-025-11449-1,436,0,test
R0151,https://doi.org/10.1021/acs.iecr.5c01518,442,0,test
R0152,https://doi.org/10.1021/acs.iecr.5c01518,442,0,test
R0155,https://doi.org/10.1016/j.jcis.2025.137782,452,0,test
R0156,https://doi.org/10.1016/j.cej.2025.162908,457,0,test
R0157,https://doi.org/10.1016/j.cej.2025.162908,457,0,test
R0158,https://doi.org/10.1016/j.cej.2025.162908,457,0,test
R0167,https://doi.org/10.1002/anie.202418893,483,0,test
R0168,https://doi.org/10.1016/j.electacta.2024.145384,489,0,test
R0169,https://doi.org/10.1007/s10008-024-06115-x,494,0,test
R0173,https://doi.org/10.1021/acs.energyfuels.4c04356,498,0,test
R0179,https://doi.org/10.1039/d4sc03242j,517,0,test
R0186,https://doi.org/10.1002/adma.202405440,525,0,test
R0188,https://doi.org/10.1016/j.jcis.2024.05.144,528,0,test
R0194,https://doi.org/10.1002/smtd.202301728,545,0,test
R0195,https://doi.org/10.1002/smtd.202301728,545,0,test
R0001,https://doi.org/10.1016/j.electacta.2020.137645,8,1,train
R0002,https://doi.org/10.1016/j.electacta.2020.137645,8,1,train
R0003,https://doi.org/10.1016/j.apcatb.2019.118283,16,1,train
R0004,https://doi.org/10.1016/j.ssi.2021.115773,18,1,train
R0005,https://doi.org/10.1016/j.ssi.2021.115773,18,1,train
R0006,https://doi.org/10.1016/j.jpowsour.2021.230374,32,1,train
R0007,https://doi.org/10.1016/j.jallcom.2019.152736,34,1,train
R0008,https://doi.org/10.1016/j.jallcom.2020.153803,36,1,train
R0010,https://doi.org/10.1016/j.cej.2020.124294,50,1,train
R0011,https://doi.org/10.1016/j.cej.2020.124294,50,1,train
R0013,https://doi.org/10.1016/j.jelechem.2020.114124,58,1,train
R0014,https://doi.org/10.1016/j.jechem.2020.07.053,61,1,train
R0015,https://doi.org/10.1016/j.flatc.2020.100221,65,1,train
R0017,https://doi.org/10.1016/j.jallcom.2020.154054,70,1,train
R0018,https://doi.org/10.1016/j.jpowsour.2020.228362,71,1,train
R0019,https://doi.org/10.1016/j.jallcom.2020.157656,73,1,train
R0020,https://doi.org/10.1002/aenm.202100110,82,1,train
R0021,https://doi.org/10.1002/anie.202110116,88,1,train
R0022,https://doi.org/10.1002/anie.202110116,88,1,train
R0027,https://doi.org/10.1039/d0nr00866d,104,1,train
R0028,https://doi.org/10.1039/d0ta09195b,113,1,train
R0029,https://doi.org/10.1039/d1ta00538c,118,1,train
R0030,https://doi.org/10.1039/d1ta04830a,120,1,train
R0033,https://doi.org/10.1021/acsaem.0c01691,126,1,train
R0034,https://doi.org/10.1021/acsnano.9b09646,132,1,train
R0035,https://doi.org/10.1021/acsami.0c02087,136,1,train
R0036,https://doi.org/10.1002/er.7342,137,1,train
R0037,https://doi.org/10.1002/er.6806,138,1,train
R0038,https://doi.org/10.1021/acsami.1c08720,150,1,train
R0041,https://doi.org/10.1007/s40242-020-0077-3,161,1,train
R0042,https://doi.org/10.1002/smll.202105752,165,1,train
R0043,https://doi.org/10.1002/smll.202105752,165,1,train
R0044,https://doi.org/10.1021/acscatal.0c02608,168,1,train
R0045,https://doi.org/10.1021/acsaem.1c01572,171,1,train
R0046,https://doi.org/10.1021/acsaem.1c01572,171,1,train
R0047,https://doi.org/10.1002/aenm.202200791,176,1,train
R0048,https://doi.org/10.1002/aenm.202103910,177,1,train
R0049,https://doi.org/10.1016/j.apcatb.2022.121844,181,1,train
R0050,https://doi.org/10.1002/aenm.202203660,183,1,train
R0051,https://doi.org/10.1016/j.ensm.2023.102874,187,1,train
R0052,https://doi.org/10.1016/j.ensm.2023.102989,188,1,train
R0053,https://doi.org/10.1016/j.ensm.2022.07.026,190,1,train
R0057,https://doi.org/10.1002/smll.202205532,208,1,train
R0058,https://doi.org/10.1016/j.electacta.2023.142096,209,1,train
R0059,https://doi.org/10.1016/j.electacta.2022.140147,211,1,train
R0060,https://doi.org/10.1021/acsami.1c22643,214,1,train
R0061,https://doi.org/10.1016/j.jelechem.2022.116810,217,1,train
R0062,https://doi.org/10.1002/slct.202200870,225,1,train
R0063,https://doi.org/10.1002/slct.202200870,225,1,train
R0064,https://doi.org/10.1002/slct.202200870,225,1,train
R0065,https://doi.org/10.1016/j.cej.2023.146775,227,1,train
R0066,https://doi.org/10.1073/pnas.2301439120/-/DCSupplemental,228,1,train
R0067,https://doi.org/10.3390/nano12142386,229,1,train
R0068,https://doi.org/10.1021/acsami.2c19975,230,1,train
R0069,https://doi.org/10.1021/acsami.2c19975,230,1,train
R0070,https://doi.org/10.1016/j.cej.2022.136852,236,1,train
R0071,https://doi.org/10.1039/d2ta07061h,237,1,train
R0072,https://doi.org/10.1016/j.ijhydene.2023.12.023,241,1,train
R0073,https://doi.org/10.1016/j.jelechem.2022.116356,247,1,train
R0074,https://doi.org/10.1002/smll.202204836,248,1,train
R0075,https://doi.org/10.1002/smll.202204836,248,1,train
R0076,https://doi.org/10.1002/admi.202102110,252,1,train
R0077,https://doi.org/10.1002/admi.202102110,252,1,train
R0078,https://doi.org/10.1016/j.cej.2022.137684,259,1,train
R0079,https://doi.org/10.1016/j.cej.2022.137684,259,1,train
R0081,https://doi.org/10.1021/acs.jpcc.3c01042,281,1,train
R0082,https://doi.org/10.1021/acs.jpcc.3c01042,281,1,train
R0083,https://doi.org/10.1021/acs.jpcc.3c01042,281,1,train
R0084,https://doi.org/10.1021/acsami.3c01599,283,1,train
R0085,https://doi.org/10.1021/jacs.2c11676,287,1,train
R0091,https://doi.org/10.1039/d1qi01260f,296,1,train
R0092,https://doi.org/10.1016/j.carbon.2022.04.080,298,1,train
R0093,https://doi.org/10.1016/j.jallcom.2022.163703,301,1,train
R0095,https://doi.org/10.1002/smll.202206611,305,1,train
R0096,https://doi.org/10.1002/adsu.202300510,307,1,train
R0097,https://doi.org/10.1002/adsu.202300510,307,1,train
R0098,https://doi.org/10.1002/adsu.202300510,307,1,train
R0099,https://doi.org/10.1021/acsami.2c19975,311,1,train
R0100,https://doi.org/10.1021/acscatal.2c02544,312,1,train
R0101,https://doi.org/10.1021/acscatal.2c02544,312,1,train
R0102,https://doi.org/10.1126/sciadv.abq6261,316,1,train
R0103,https://doi.org/10.1007/s12274-022-5330-2,317,1,train
R0104,https://doi.org/10.1007/s12274-022-5330-2,317,1,train
R0105,https://doi.org/10.1007/s12274-022-5330-2,317,1,train
R0106,https://doi.org/10.1007/s12274-022-5330-2,317,1,train
R0107,https://doi.org/10.1016/j.ensm.2023.102829,320,1,train
R0108,https://doi.org/10.1016/j.cej.2022.138462,322,1,train
R0109,https://doi.org/10.1002/smll.202302598,323,1,train
R0110,https://doi.org/10.1002/adma.202106436,337,1,train
R0112,https://doi.org/10.1021/acsnano.3c05782,342,1,train
R0113,https://doi.org/10.1039/d2ta03604e,344,1,train
R0116,https://doi.org/10.1016/j.cej.2023.143351,357,1,train
R0117,https://doi.org/10.1002/adfm.202209876,358,1,train
R0118,https://doi.org/10.1002/smll.202106707,361,1,train
R0119,https://doi.org/10.1021/acsaem.3c02592,365,1,train
R0120,https://doi.org/10.1002/aenm.202204057,375,1,train
R0121,https://doi.org/10.1002/aenm.202204057,375,1,train
R0122,https://doi.org/10.1002/aenm.202204057,375,1,train
R0123,https://doi.org/10.1021/acs.nanolett.3c03025,379,1,train
R0124,https://doi.org/10.1021/acs.nanolett.3c03025,379,1,train
R0125,https://doi.org/10.6023/A22050206,381,1,train
R0127,https://doi.org/10.1016/j.jechem.2026.01.056,383,1,train
R0128,https://doi.org/10.1002/smll.202512953,389,1,train
R0129,https://doi.org/10.1002/smll.202512953,389,1,train
R0130,https://doi.org/10.1002/smll.202512953,389,1,train
R0131,https://doi.org/10.1002/advs.202522315,399,1,train
R0133,https://doi.org/10.1021/acsaem.5c03033,405,1,train
R0134,https://doi.org/10.1021/acsanm.5c04476,406,1,train
R0135,https://doi.org/10.1021/acsanm.5c04476,406,1,train
R0138,https://doi.org/10.1080/1536383X.2025.2583369,414,1,train
R0140,https://doi.org/10.1016/j.jcis.2025.139355,416,1,train
R0141,https://doi.org/10.1016/j.jcis.2025.139355,416,1,train
R0142,https://doi.org/10.1021/acsnano.5c10218,423,1,train
R0143,https://doi.org/10.1021/acsnano.5c10218,423,1,train
R0145,https://doi.org/10.1021/acs.langmuir.5c02644,430,1,train
R0146,https://doi.org/10.1016/j.electacta.2025.146925,434,1,train
R0147,https://doi.org/10.1016/j.jcis.2025.138454,435,1,train
R0148,https://doi.org/10.1038/s41598-025-11449-1,436,1,train
R0149,https://doi.org/10.1002/anie.202509132,437,1,train
R0150,https://doi.org/10.1016/j.jpowsour.2025.237653,441,1,train
R0151,https://doi.org/10.1021/acs.iecr.5c01518,442,1,train
R0152,https://doi.org/10.1021/acs.iecr.5c01518,442,1,train
R0153,https://doi.org/10.1016/j.carbon.2025.120482,447,1,train
R0155,https://doi.org/10.1016/j.jcis.2025.137782,452,1,train
R0156,https://doi.org/10.1016/j.cej.2025.162908,457,1,train
R0157,https://doi.org/10.1016/j.cej.2025.162908,457,1,train
R0158,https://doi.org/10.1016/j.cej.2025.162908,457,1,train
R0159,https://doi.org/10.1016/j.cej.2025.162420,458,1,train
R0160,https://doi.org/10.1039/d5nr00300h,459,1,train
R0161,https://doi.org/10.1039/d5nr00300h,459,1,train
R0162,https://doi.org/10.1021/jacs.4c15230,463,1,train
R0163,https://doi.org/10.1002/celc.202400626,470,1,train
R0164,https://doi.org/10.1016/j.esci.2024.100310,477,1,train
R0165,https://doi.org/10.1016/j.esci.2024.100310,477,1,train
R0166,https://doi.org/10.1002/smll.202406516,478,1,train
R0167,https://doi.org/10.1002/anie.202418893,483,1,train
R0168,https://doi.org/10.1016/j.electacta.2024.145384,489,1,train
R0169,https://doi.org/10.1007/s10008-024-06115-x,494,1,train
R0170,https://doi.org/10.1002/aenm.202402925,495,1,train
R0171,https://doi.org/10.1002/aenm.202402925,495,1,train
R0172,https://doi.org/10.1002/aenm.202402925,495,1,train
R0173,https://doi.org/10.1021/acs.energyfuels.4c04356,498,1,train
R0177,https://doi.org/10.1002/cey2.587,508,1,train
R0178,https://doi.org/10.1002/cey2.550,509,1,train
R0179,https://doi.org/10.1039/d4sc03242j,517,1,train
R0180,https://doi.org/10.1016/j.est.2024.112780,519,1,train
R0181,https://doi.org/10.1016/j.est.2024.112780,519,1,train
R0185,https://doi.org/10.1002/adma.202404319,523,1,train
R0186,https://doi.org/10.1002/adma.202405440,525,1,train
R0187,https://doi.org/10.1016/j.mtener.2024.101597,526,1,train
R0188,https://doi.org/10.1016/j.jcis.2024.05.144,528,1,train
R0193,https://doi.org/10.1002/aenm.202303766,543,1,train
R0194,https://doi.org/10.1002/smtd.202301728,545,1,train
R0195,https://doi.org/10.1002/smtd.202301728,545,1,train
R0196,https://doi.org/10.1016/j.mtcomm.2024.108243,547,1,train
R0197,https://doi.org/10.1016/j.jallcom.2024.173877,549,1,train
R0198,https://doi.org/10.1016/j.jpowsour.2024.234130,553,1,train
R0199,https://doi.org/10.1016/j.jpowsour.2024.234130,553,1,train
R0200,https://doi.org/10.1021/jacs.3c12734,554,1,train
R0009,https://doi.org/10.1016/j.jallcom.2020.158269,40,1,test
R0012,https://doi.org/10.1016/j.cej.2021.128403,53,1,test
R0016,https://doi.org/10.1016/j.jallcom.2020.157945,68,1,test
R0023,https://doi.org/10.1021/acs.jpcc.1c05456,91,1,test
R0024,https://doi.org/10.1021/acs.jpcc.1c05456,91,1,test
R0025,https://doi.org/10.1021/acs.jpcc.1c05456,91,1,test
R0026,https://doi.org/10.1039/d0cc05980c,102,1,test
R0031,https://doi.org/10.1002/ente.201901257,123,1,test
R0032,https://doi.org/10.1002/ente.201901257,123,1,test
R0039,https://doi.org/10.1021/acsami.9b21904,151,1,test
R0040,https://doi.org/10.1007/s11581-021-04046-5,157,1,test
R0054,https://doi.org/10.1016/S1872‐2067(23)64409‐2,191,1,test
R0055,https://doi.org/10.1016/S1872‐2067(23)64409‐2,191,1,test
R0056,https://doi.org/10.1016/j.jallcom.2023.170130,203,1,test
R0080,https://doi.org/10.1016/j.est.2023.107329,270,1,test
R0086,https://doi.org/10.1016/j.est.2023.109342,288,1,test
R0087,https://doi.org/10.1016/j.est.2023.109342,288,1,test
R0088,https://doi.org/10.1016/j.est.2023.109342,288,1,test
R0089,https://doi.org/10.1016/j.jcis.2022.12.148,290,1,test
R0090,https://doi.org/10.1016/j.cej.2022.139524,295,1,test
R0094,https://doi.org/10.1016/j.electacta.2022.140894,304,1,test
R0111,https://doi.org/10.1016/j.apcatb.2022.122203,338,1,test
R0114,https://doi.org/10.1016/j.compositesb.2022.109727,351,1,test
R0115,https://doi.org/10.1016/j.ensm.2022.05.029,352,1,test
R0126,https://doi.org/10.1016/j.jcis.2026.140244,382,1,test
R0132,https://doi.org/10.1016/j.electacta.2025.147671,403,1,test
R0136,https://doi.org/10.1088/2631-6331/ae1925,408,1,test
R0137,https://doi.org/10.1002/anie.202521423,410,1,test
R0139,https://doi.org/10.1002/anie.202520097,415,1,test
R0144,https://doi.org/10.1002/aoc.70327,425,1,test
R0154,https://doi.org/10.1093/nsr/nwaf145,450,1,test
R0174,https://doi.org/10.1002/smll.202406525,502,1,test
R0175,https://doi.org/10.1016/j.jpowsour.2024.235394,507,1,test
R0176,https://doi.org/10.1016/j.jpowsour.2024.235394,507,1,test
R0182,https://doi.org/10.1016/j.jcis.2024.06.137,522,1,test
R0183,https://doi.org/10.1016/j.jcis.2024.06.137,522,1,test
R0184,https://doi.org/10.1016/j.jcis.2024.06.137,522,1,test
R0189,https://doi.org/10.1016/j.ijoes.2024.100602,532,1,test
R0190,https://doi.org/10.1016/j.jechem.2024.01.076,540,1,test
R0191,https://doi.org/10.1016/j.jechem.2024.01.076,540,1,test
R0192,https://doi.org/10.1016/j.jechem.2024.01.076,540,1,test
R0003,https://doi.org/10.1016/j.apcatb.2019.118283,16,2,train
R0007,https://doi.org/10.1016/j.jallcom.2019.152736,34,2,train
R0008,https://doi.org/10.1016/j.jallcom.2020.153803,36,2,train
R0009,https://doi.org/10.1016/j.jallcom.2020.158269,40,2,train
R0010,https://doi.org/10.1016/j.cej.2020.124294,50,2,train
R0011,https://doi.org/10.1016/j.cej.2020.124294,50,2,train
R0012,https://doi.org/10.1016/j.cej.2021.128403,53,2,train
R0013,https://doi.org/10.1016/j.jelechem.2020.114124,58,2,train
R0014,https://doi.org/10.1016/j.jechem.2020.07.053,61,2,train
R0015,https://doi.org/10.1016/j.flatc.2020.100221,65,2,train
R0016,https://doi.org/10.1016/j.jallcom.2020.157945,68,2,train
R0017,https://doi.org/10.1016/j.jallcom.2020.154054,70,2,train
R0019,https://doi.org/10.1016/j.jallcom.2020.157656,73,2,train
R0020,https://doi.org/10.1002/aenm.202100110,82,2,train
R0023,https://doi.org/10.1021/acs.jpcc.1c05456,91,2,train
R0024,https://doi.org/10.1021/acs.jpcc.1c05456,91,2,train
R0025,https://doi.org/10.1021/acs.jpcc.1c05456,91,2,train
R0026,https://doi.org/10.1039/d0cc05980c,102,2,train
R0027,https://doi.org/10.1039/d0nr00866d,104,2,train
R0028,https://doi.org/10.1039/d0ta09195b,113,2,train
R0029,https://doi.org/10.1039/d1ta00538c,118,2,train
R0030,https://doi.org/10.1039/d1ta04830a,120,2,train
R0031,https://doi.org/10.1002/ente.201901257,123,2,train
R0032,https://doi.org/10.1002/ente.201901257,123,2,train
R0033,https://doi.org/10.1021/acsaem.0c01691,126,2,train
R0034,https://doi.org/10.1021/acsnano.9b09646,132,2,train
R0035,https://doi.org/10.1021/acsami.0c02087,136,2,train
R0036,https://doi.org/10.1002/er.7342,137,2,train
R0038,https://doi.org/10.1021/acsami.1c08720,150,2,train
R0039,https://doi.org/10.1021/acsami.9b21904,151,2,train
R0040,https://doi.org/10.1007/s11581-021-04046-5,157,2,train
